"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2023","2.158","2.255","2.283","2.136","210.62K","-4.77%"
"05/31/2023","2.266","2.320","2.410","2.247","151.83K","-2.62%"
"05/30/2023","2.327","2.417","2.448","2.257","183.53K","-0.94%"
"05/29/2023","2.349","2.434","2.447","2.338","","-3.53%"
"05/28/2023","2.435","2.418","2.441","2.417","","11.65%"
"05/26/2023","2.181","2.292","2.298","2.143","2.17K","-5.46%"
"05/25/2023","2.307","2.413","2.441","2.258","48.66K","-3.79%"
"05/24/2023","2.398","2.347","2.415","2.317","33.04K","3.32%"
"05/23/2023","2.321","2.400","2.407","2.318","58.74K","-3.29%"
"05/22/2023","2.400","2.568","2.569","2.367","114.48K","-7.16%"
"05/19/2023","2.585","2.615","2.685","2.557","162.13K","-0.27%"
"05/18/2023","2.592","2.380","2.634","2.352","186.29K","9.60%"
"05/17/2023","2.365","2.362","2.435","2.322","139.26K","-0.46%"
"05/16/2023","2.376","2.373","2.470","2.341","135.43K","0.04%"
"05/15/2023","2.375","2.265","2.384","2.250","142.75K","-2.58%"
"05/12/2023","2.438","2.342","2.495","2.310","131.02K","3.97%"
"05/11/2023","2.345","2.331","2.389","2.310","89.13K","7.03%"
"05/10/2023","2.191","2.262","2.265","2.160","126.49K","-3.35%"
"05/09/2023","2.267","2.249","2.297","2.184","134.53K","1.30%"
"05/08/2023","2.238","2.148","2.255","2.140","125.35K","4.73%"
"05/05/2023","2.137","2.086","2.167","2.031","120.69K","1.71%"
"05/04/2023","2.101","2.157","2.189","2.081","113.28K","-3.18%"
"05/03/2023","2.170","2.224","2.241","2.103","130.33K","-1.99%"
"05/02/2023","2.214","2.314","2.345","2.186","127.23K","-4.49%"
"05/01/2023","2.318","2.398","2.410","2.290","108.99K","-3.82%"
"04/28/2023","2.410","2.358","2.529","2.285","176.42K","2.34%"
"04/27/2023","2.355","2.314","2.376","2.268","105.22K","11.24%"
"04/26/2023","2.117","2.239","2.274","2.101","2.41K","-8.24%"
"04/25/2023","2.307","2.262","2.312","2.170","66.13K","1.50%"
"04/24/2023","2.273","2.220","2.286","2.181","56.32K","1.79%"
"04/21/2023","2.233","2.192","2.274","2.164","82.96K","-0.71%"
"04/20/2023","2.249","2.179","2.271","2.140","115.59K","1.22%"
"04/19/2023","2.222","2.373","2.383","2.177","147.57K","-6.09%"
"04/18/2023","2.366","2.290","2.385","2.229","120.61K","4.00%"
"04/17/2023","2.275","2.150","2.314","2.146","191.44K","7.62%"
"04/14/2023","2.114","2.015","2.132","1.946","226.79K","5.33%"
"04/13/2023","2.007","2.084","2.130","1.995","224.38K","-4.11%"
"04/12/2023","2.093","2.221","2.229","2.069","247.32K","-4.25%"
"04/11/2023","2.186","2.182","2.247","2.126","220.67K","0.64%"
"04/10/2023","2.172","2.019","2.223","2.011","256.80K","8.01%"
"04/06/2023","2.011","2.141","2.181","1.992","189.06K","-6.68%"
"04/05/2023","2.155","2.096","2.197","2.065","147.11K","2.33%"
"04/04/2023","2.106","2.114","2.166","2.076","149.12K","0.43%"
"04/03/2023","2.097","2.085","2.160","2.015","173.58K","-5.37%"
"03/31/2023","2.216","2.107","2.241","2.074","164.65K","5.32%"
"03/30/2023","2.104","2.183","2.190","2.080","153.73K","5.68%"
"03/29/2023","1.991","2.024","2.083","1.944","3.49K","-1.92%"
"03/28/2023","2.030","2.089","2.122","1.998","62.60K","-2.78%"
"03/27/2023","2.088","2.130","2.143","2.059","39.81K","-11.56%"
"03/24/2023","2.361","2.277","2.382","2.267","122.74K","3.42%"
"03/23/2023","2.283","2.354","2.383","2.263","106.54K","-1.04%"
"03/22/2023","2.307","2.456","2.462","2.287","133.98K","-7.16%"
"03/21/2023","2.485","2.339","2.493","2.240","151.46K","6.61%"
