"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2023","742.50","749.00","760.25","740.25","45.15K","-1.23%"
"01/17/2023","751.75","742.50","755.75","728.75","48.65K","1.08%"
"01/13/2023","743.75","743.50","748.50","737.25","34.23K","0.13%"
"01/12/2023","742.75","739.00","747.25","723.00","64.69K","0.37%"
"01/11/2023","740.00","730.25","742.25","724.50","37.16K","1.23%"
"01/10/2023","731.00","741.25","742.50","720.50","59.34K","-1.42%"
"01/09/2023","741.50","748.00","758.00","740.25","45.49K","-0.27%"
"01/06/2023","743.50","748.50","756.75","742.50","28.67K","-0.44%"
"01/05/2023","746.75","746.00","752.00","736.00","36.79K","0.17%"
"01/04/2023","745.50","780.50","780.50","744.25","51.98K","-3.87%"
"01/03/2023","775.50","786.00","794.50","769.75","50.14K","-2.08%"
"12/30/2022","792.00","775.50","799.00","771.50","34.78K","2.33%"
"12/29/2022","774.00","785.00","786.50","765.50","35.94K","-1.46%"
"12/28/2022","785.50","774.50","787.50","770.75","33.18K","1.42%"
"12/27/2022","774.50","781.25","784.50","769.00","28.36K","-0.19%"
"12/23/2022","776.00","762.00","778.00","758.00","25.95K","1.80%"
"12/22/2022","762.25","766.75","777.00","758.00","34.65K","-0.72%"
"12/21/2022","767.75","750.00","774.50","748.75","52.90K","2.30%"
"12/20/2022","750.50","747.25","761.50","744.75","38.34K","0.27%"
"12/19/2022","748.50","755.00","759.75","738.75","39.78K","-0.66%"
"12/16/2022","753.50","758.25","764.25","750.75","32.61K","-0.50%"
"12/15/2022","757.25","749.75","767.00","745.00","51.21K","3.98%"
"12/14/2022","728.25","750.00","751.75","737.75","0.07K","-0.07%"
"12/13/2022","728.75","741.00","742.50","741.00","0.10K","-0.58%"
"12/12/2022","733.00","741.75","760.00","738.25","0.26K","2.84%"
"12/09/2022","712.75","749.75","752.50","730.75","0.05K","-1.59%"
"12/08/2022","724.25","721.00","726.75","721.00","0.23K","-0.38%"
"12/07/2022","727.00","727.25","728.75","727.25","0.41K","3.05%"
"12/06/2022","705.50","715.75","715.75","702.50","0.24K","-1.40%"
"12/05/2022","715.50","730.50","730.50","722.25","0.13K","-2.95%"
"12/02/2022","737.25","750.00","750.00","738.50","0.52K","-5.84%"
"12/01/2022","783.00","795.25","797.25","780.50","41.09K","-1.57%"
"11/30/2022","795.50","784.00","799.25","781.50","45.18K","1.79%"
"11/29/2022","781.50","780.25","792.00","777.50","51.02K","0.10%"
