Symbol,Date,Price,Open,High,Low,Volume,Change
Dolar,2022-12-29,5.286,5.2681,5.3049,5.1895,122630.0,0.35
Dolar,2022-12-28,5.2676,5.2967,5.2967,5.226,110390.0,-0.48
Dolar,2022-12-27,5.2928,5.2189,5.3028,5.194,120920.0,1.42
Dolar,2022-12-26,5.2186,5.1669,5.221,5.1545,69650.0,1.03
Dolar,2022-12-23,5.1652,5.167,5.1789,5.116,164080.0,-0.03
Dolar,2022-12-22,5.1665,5.2013,5.2243,5.1585,165200.0,-0.66
Dolar,2022-12-21,5.2009,5.2001,5.2207,5.1586,156470.0,0.02
Dolar,2022-12-20,5.1996,5.2934,5.3257,5.1757,180610.0,-1.76
Dolar,2022-12-19,5.293,5.3145,5.3404,5.2888,145130.0,-0.4
Dolar,2022-12-16,5.314,5.3133,5.3326,5.262,129900.0,0.02
Dolar,2022-12-15,5.313,5.2792,5.3481,5.2792,176830.0,0.65
Dolar,2022-12-14,5.2787,5.2941,5.373,5.2734,176050.0,-0.29
Dolar,2022-12-13,5.2938,5.3231,5.3358,5.2418,174060.0,-0.54
Dolar,2022-12-12,5.3226,5.2404,5.352,5.2309,143260.0,1.58
Dolar,2022-12-09,5.24,5.2258,5.284,5.2161,140590.0,0.28
Dolar,2022-12-08,5.2253,5.2053,5.253,5.1905,164060.0,0.39
Dolar,2022-12-07,5.2048,5.2357,5.2782,5.1841,158340.0,-0.58
Dolar,2022-12-06,5.2352,5.2811,5.2811,5.2183,161570.0,-0.87
Dolar,2022-12-05,5.2809,5.217,5.2916,5.206,134130.0,1.19
Dolar,2022-12-02,5.2189,5.1852,5.241,5.1616,160050.0,0.66
Dolar,2022-12-01,5.1848,5.1856,5.2175,5.1628,183460.0,-0.01
Dolar,2022-11-30,5.1851,5.27,5.3189,5.1733,158630.0,-1.6
Dolar,2022-11-29,5.2695,5.3658,5.3658,5.2698,127670.0,-1.79
Dolar,2022-11-28,5.3654,5.408,5.4307,5.3478,121900.0,-0.82
Dolar,2022-11-25,5.4098,5.3213,5.4251,5.304,158130.0,1.67
Dolar,2022-11-24,5.3208,5.3596,5.3596,5.2991,113290.0,-0.71
Dolar,2022-11-23,5.3591,5.3591,5.4127,5.344,151680.0,0.01
Dolar,2022-11-22,5.3586,5.3203,5.4005,5.2794,174860.0,0.73
Dolar,2022-11-21,5.32,5.3832,5.3836,5.2976,177130.0,-1.16
Dolar,2022-11-18,5.3827,5.4236,5.4236,5.3253,156990.0,-0.74
Dolar,2022-11-17,5.4231,5.4003,5.5307,5.3866,167680.0,0.43
Dolar,2022-11-16,5.3998,5.333,5.4057,5.2868,146980.0,1.26
Dolar,2022-11-15,5.3325,5.3333,5.3333,5.3328,10.0,0.01
Dolar,2022-11-14,5.3321,5.3253,5.3527,5.2589,164620.0,0.13
Dolar,2022-11-11,5.325,5.3454,5.4066,5.2484,179780.0,-0.37
Dolar,2022-11-10,5.3449,5.1869,5.4155,5.1869,244220.0,3.06
Dolar,2022-11-09,5.1864,5.1444,5.2014,5.1364,186740.0,0.82
Dolar,2022-11-08,5.144,5.1572,5.2488,5.1298,181410.0,-0.25
Dolar,2022-11-07,5.1567,5.0571,5.1757,5.0461,158140.0,2.0
Dolar,2022-11-04,5.0557,5.117,5.117,5.0184,180050.0,-1.13
Dolar,2022-11-03,5.1137,5.1437,5.2244,5.083,203310.0,-0.57
Dolar,2022-11-02,5.1432,5.1475,5.148,5.1437,,-0.08
Dolar,2022-11-01,5.1475,5.1803,5.2069,5.083,208660.0,-0.61
Dolar,2022-10-31,5.1791,5.2962,5.4083,5.1531,180030.0,-2.19
Dolar,2022-10-28,5.2949,5.3451,5.3832,5.28,202540.0,-0.94
Dolar,2022-10-27,5.3449,5.3807,5.3927,5.2406,186520.0,-0.66
Dolar,2022-10-26,5.3804,5.3166,5.3879,5.2797,183450.0,1.2
Dolar,2022-10-25,5.3167,5.3037,5.3581,5.2757,180710.0,0.25
Dolar,2022-10-24,5.3032,5.1649,5.3101,5.1648,177340.0,2.77
Dolar,2022-10-21,5.1605,5.218,5.2773,5.1404,216510.0,-1.04
Dolar,2022-10-20,5.2147,5.2707,5.2716,5.1922,189240.0,-1.05
Dolar,2022-10-19,5.27,5.2414,5.2998,5.2411,182980.0,0.56
Dolar,2022-10-18,5.2405,5.2833,5.2993,5.2336,176730.0,-0.76
Dolar,2022-10-17,5.2808,5.3288,5.3307,5.2531,132520.0,-0.83
Dolar,2022-10-14,5.3252,5.2629,5.3347,5.2407,164830.0,1.19
Dolar,2022-10-13,5.2626,5.2725,5.3817,5.2288,169100.0,-0.57
Dolar,2022-10-12,5.293,5.3034,5.3034,5.2932,8270.0,-0.14
Dolar,2022-10-11,5.3005,5.1899,5.3057,5.177,174890.0,2.13
Dolar,2022-10-10,5.1901,5.1999,5.2174,5.1625,137860.0,-0.18
Dolar,2022-10-07,5.1996,5.2215,5.2533,5.1937,172970.0,-0.42
Dolar,2022-10-06,5.2217,5.1959,5.2333,5.1723,182700.0,0.53
Dolar,2022-10-05,5.194,5.1779,5.2442,5.1593,177290.0,0.33
Dolar,2022-10-04,5.177,5.165,5.2218,5.1083,167000.0,0.19
Dolar,2022-10-03,5.1672,5.4158,5.4158,5.1526,162970.0,-4.58
Dolar,2022-09-30,5.4154,5.4013,5.4278,5.3282,191950.0,0.35
Dolar,2022-09-29,5.3964,5.3765,5.43,5.373,226000.0,0.41
Dolar,2022-09-28,5.3745,5.3814,5.4236,5.3226,215450.0,-0.15
Dolar,2022-09-27,5.3824,5.391,5.3954,5.2963,240280.0,-0.14
Dolar,2022-09-26,5.3898,5.2603,5.4174,5.2603,198860.0,2.48
Dolar,2022-09-23,5.2595,5.1173,5.2693,5.1164,188070.0,2.79
Dolar,2022-09-22,5.1166,5.1728,5.1859,5.1055,194130.0,-1.06
Dolar,2022-09-21,5.1716,5.143,5.194,5.1188,195920.0,0.58
Dolar,2022-09-20,5.1417,5.1705,5.224,5.1406,162360.0,-0.49
Dolar,2022-09-19,5.167,5.2544,5.3029,5.142,126670.0,-1.64
Dolar,2022-09-16,5.2531,5.2462,5.3105,5.2462,169320.0,0.12
Dolar,2022-09-15,5.247,5.1644,5.2502,5.1641,135040.0,1.63
Dolar,2022-09-14,5.1631,5.1922,5.1986,5.1495,136730.0,-0.54
Dolar,2022-09-13,5.1911,5.0918,5.2092,5.0766,177680.0,1.93
Dolar,2022-09-12,5.093,5.1477,5.1477,5.0834,126680.0,-1.03
Dolar,2022-09-09,5.1462,5.2143,5.2146,5.1378,151120.0,-1.3
Dolar,2022-09-08,5.2141,5.2483,5.2523,5.1783,195760.0,-0.65
Dolar,2022-09-07,5.248,5.2507,5.2507,5.2483,34560.0,-0.09
